Type;Date;Price;
1;15.01.2009 14:47:06;109.85;
0;15.01.2009 14:51:19;109.94;
1;15.01.2009 14:52:43;110.01;
0;15.01.2009 14:57:15;109.84;
0;15.01.2009 14:57:57;109.74;
0;15.01.2009 14:58:09;109.72;
1;15.01.2009 14:59:48;109.49;
1;15.01.2009 15:02:43;109.6;
0;15.01.2009 15:04:19;109.28;
0;15.01.2009 15:05:22;108.95;
0;15.01.2009 15:05:46;108.95;
0;15.01.2009 15:05:59;108.95;
0;15.01.2009 15:08:00;108.72;
1;15.01.2009 15:08:40;108.66;
0;15.01.2009 15:10:19;108.82;
0;15.01.2009 15:11:14;108.76;
0;15.01.2009 15:11:19;109.05;
0;15.01.2009 15:13:16;109.08;
0;15.01.2009 15:15:17;109.25;
0;15.01.2009 15:15:51;109.38;
0;15.01.2009 15:17:18;109.41;
1;15.01.2009 15:19:19;109.49;
0;15.01.2009 15:26:12;109.3;
0;15.01.2009 15:27:04;109.25;
0;15.01.2009 15:27:13;109.25;
0;15.01.2009 15:28:08;109;
0;15.01.2009 15:37:38;108.77;
0;15.01.2009 15:42:11;108.32;
0;15.01.2009 15:42:15;108.32;
0;15.01.2009 15:42:17;108.27;
1;15.01.2009 15:43:07;107.98;
1;15.01.2009 15:45:33;108.35;
1;15.01.2009 15:46:04;108.22;
0;15.01.2009 15:46:55;108.52;
1;15.01.2009 15:47:28;108.69;
0;15.01.2009 15:48:43;108.51;
0;15.01.2009 15:49:13;108.49;
0;15.01.2009 15:50:17;108.38;
0;15.01.2009 15:50:45;107.95;
1;15.01.2009 15:51:14;107.45;
0;15.01.2009 15:53:20;107.87;
1;15.01.2009 15:54:00;108;
0;15.01.2009 15:55:12;107.8;
0;15.01.2009 15:56:35;107.78;
0;15.01.2009 15:56:48;107.75;
0;15.01.2009 15:57:05;107.73;
0;15.01.2009 15:57:35;107.69;
0;15.01.2009 15:58:49;107.52;
0;15.01.2009 15:59:32;107.47;
0;15.01.2009 15:59:40;107.48;
0;15.01.2009 16:00:00;107.4;
0;15.01.2009 16:00:07;107.36;
0;15.01.2009 16:00:18;107.3;
1;15.01.2009 16:01:26;107.17;
0;15.01.2009 16:04:33;107.5;
0;15.01.2009 16:08:13;107.64;
1;15.01.2009 16:10:56;108.31;
1;15.01.2009 16:14:40;108;
1;15.01.2009 16:21:29;108.29;
0;15.01.2009 16:22:00;108.2;
0;15.01.2009 16:23:22;108.06;
1;15.01.2009 16:23:30;108.11;
0;15.01.2009 16:26:48;108.23;
0;15.01.2009 16:28:21;108.36;
0;15.01.2009 16:29:44;108.35;
0;15.01.2009 16:30:05;108.53;
0;15.01.2009 16:30:10;108.7;
0;15.01.2009 16:30:20;108.67;
1;15.01.2009 16:30:28;109.01;
0;15.01.2009 16:30:42;108.89;
0;15.01.2009 16:30:53;108.9;
0;15.01.2009 16:31:48;108.78;
0;15.01.2009 16:32:12;108.66;
0;15.01.2009 16:33:19;108.7;
0;15.01.2009 16:34:12;108.41;
0;15.01.2009 16:34:20;108.4;
0;15.01.2009 16:34:35;108.11;
1;15.01.2009 16:36:11;107.85;
0;15.01.2009 16:37:00;108.03;
0;15.01.2009 16:39:10;108.05;
0;15.01.2009 16:42:11;108.68;
0;15.01.2009 16:42:33;108.85;
0;15.01.2009 16:42:39;108.9;
0;15.01.2009 16:45:22;109.37;
1;15.01.2009 16:46:10;109.44;
0;15.01.2009 16:47:57;109.23;
1;15.01.2009 16:48:44;108.99;
